Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New User,Chrome 73.0.3683.103,,2019-04-26 14:33:23,2019-04-26 14:35:54,2m - 30.566s,FAILED
,,,,,,
Test Cases/Back-End CMS/M002 - User Management/SC99 Regression/TC53 - Sign in as Admin,Chrome 73.0.3683.103,,2019-04-26 14:33:24,2019-04-26 14:35:12,1m - 47.800s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-26 14:33:25,2019-04-26 14:34:36,1m - 11.104s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-26 14:34:36,2019-04-26 14:34:38,1.233s,PASSED
"navigateToUrl(""https://stg-cms.movic.id/login"")",Chrome 73.0.3683.103,,2019-04-26 14:34:38,2019-04-26 14:34:47,9.676s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-26 14:34:47,2019-04-26 14:34:50,2.409s,PASSED
"setText(findTestObject(""Backend/OR User Management/Temporary/input_Admin_username""), ""admin@movic.id"")",Chrome 73.0.3683.103,,2019-04-26 14:34:50,2019-04-26 14:34:56,5.984s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-26 14:34:56,2019-04-26 14:34:58,2.011s,PASSED
"setEncryptedText(findTestObject(""Backend/OR User Management/Temporary/input_Admin_password""), ""SeFaNmi6/B8CPA8fJzpX7A=="")",Chrome 73.0.3683.103,,2019-04-26 14:34:58,2019-04-26 14:34:59,0.822s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-26 14:34:59,2019-04-26 14:35:01,2.014s,PASSED
"click(findTestObject(""Backend/OR User Management/Temporary/button_SignIn""))",Chrome 73.0.3683.103,,2019-04-26 14:35:01,2019-04-26 14:35:10,8.883s,PASSED
waitForPageLoad(5),Chrome 73.0.3683.103,,2019-04-26 14:35:10,2019-04-26 14:35:12,2.426s,PASSED
,,,,,,
Test Cases/Back-End CMS/M014 - Access Management/SC99Regression/TC01 - List User - User Management,Chrome 73.0.3683.103,,2019-04-26 14:35:13,2019-04-26 14:35:51,38.826s,PASSED
"callTestCase(findTestCase(""Back-End CMS/M002 - User Management/SC99 Regression/TC53 - Sign in as Admin""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-26 14:35:14,2019-04-26 14:35:14,0.013s,NOT_RUN
