Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Set Discount Owned(Dengan Driver) Cars by Owner,Chrome 72.0.3626.121,,2019-03-11 11:06:01,2019-03-11 11:07:16,1m - 15.043s,FAILED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC12 Login Sebagai Owner,Chrome 72.0.3626.121,,2019-03-11 11:06:02,2019-03-11 11:07:08,1m - 6.847s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,Buka Browser,2019-03-11 11:06:04,2019-03-11 11:06:11,7.374s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,Maximize Window,2019-03-11 11:06:11,2019-03-11 11:06:12,1.192s,PASSED
"navigateToUrl(""https://stg.movic.id/home"")",Chrome 72.0.3626.121,Akses Url,2019-03-11 11:06:12,2019-03-11 11:06:43,30.936s,PASSED
waitForPageLoad(10),Chrome 72.0.3626.121,,2019-03-11 11:06:43,2019-03-11 11:06:44,0.291s,PASSED
"click(findTestObject(""Object Repository/Front-End/OR User/OR Login sebagai Owner/a_Masuk""))",Chrome 72.0.3626.121,Klik textlink Masuk,2019-03-11 11:06:44,2019-03-11 11:06:44,0.783s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 11:06:44,2019-03-11 11:06:47,3.123s,PASSED
"setText(findTestObject(""Object Repository/Front-End/OR User/OR Login sebagai Owner/input_EmailNomor Handphone_for""), ""082128751192"")",Chrome 72.0.3626.121,Input Email,2019-03-11 11:06:47,2019-03-11 11:06:48,0.625s,PASSED
"setText(findTestObject(""Object Repository/Front-End/OR User/OR Login sebagai Owner/input_EmailNomor Handphone_for""), ""ali.msaputra01@gmail.com"")",Chrome 72.0.3626.121,Input Email,2019-03-11 11:06:48,2019-03-11 11:06:48,0.009s,NOT_RUN
delay(3),Chrome 72.0.3626.121,,2019-03-11 11:06:48,2019-03-11 11:06:51,3.005s,PASSED
"setText(findTestObject(""Object Repository/Front-End/OR User/OR Login sebagai Owner/input_Password_form-control ng""), ""password10"")",Chrome 72.0.3626.121,Input Password,2019-03-11 11:06:51,2019-03-11 11:06:51,0.385s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 11:06:51,2019-03-11 11:06:54,3.003s,PASSED
"click(findTestObject(""Object Repository/Front-End/OR User/OR Login sebagai Owner/button_MASUK""))",Chrome 72.0.3626.121,Klik button Masuk,2019-03-11 11:06:54,2019-03-11 11:06:55,0.510s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 11:06:55,2019-03-11 11:06:58,3.002s,PASSED
"click(findTestObject(""Front-End/OR User/OR Login sebagai Owner/a_Switch to Owner update""))",Chrome 72.0.3626.121,Klik Switch to Owner,2019-03-11 11:06:58,2019-03-11 11:07:05,7.478s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 11:07:05,2019-03-11 11:07:08,3.003s,PASSED
,,,,,,
Test Cases/Front-End/Product/SC99 Regression/TC08 Set discount data mobil (ubah ke kondisi dengan potongan harga),Chrome 72.0.3626.121,,2019-03-11 11:07:08,2019-03-11 11:07:14,5.716s,FAILED
"callTestCase(findTestCase(""Front-End/User/SC99 Regression/TC12 Login Sebagai Owner""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,Panggil TestCase Login Sebagai Owner,2019-03-11 11:07:09,2019-03-11 11:07:09,0.004s,NOT_RUN
delay(1),Chrome 72.0.3626.121,,2019-03-11 11:07:09,2019-03-11 11:07:10,1.004s,PASSED
"click(findTestObject(""Object Repository/Front-End/OR Product/OR Set discount data mobil (ubah ke kondisi dengan potongan harga/img""))",Chrome 72.0.3626.121,Klik Menu Kendaraan Saya,2019-03-11 11:07:10,2019-03-11 11:07:11,0.440s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-11 11:07:11,2019-03-11 11:07:12,1.005s,PASSED
"setText(findTestObject(""Object Repository/Front-End/OR Product/OR Set discount data mobil (ubah ke kondisi dengan potongan harga/input_SORT BY _form-control ty""), ""kuda"")",Chrome 72.0.3626.121,Input Field Search,2019-03-11 11:07:12,2019-03-11 11:07:12,0.311s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-11 11:07:12,2019-03-11 11:07:13,1.004s,PASSED
"click(findTestObject(""Front-End/OR Product/OR Edit Mobil/Page_Owner - Edit Car/img - search""))",Chrome 72.0.3626.121,,2019-03-11 11:07:13,2019-03-11 11:07:13,0.367s,PASSED
"click(findTestObject(""Object Repository/Front-End/OR Product/OR Set discount data mobil (ubah ke kondisi dengan potongan harga/button_Tersedia_btn btn-primar""))",Chrome 72.0.3626.121,Klik Button Tiga Titik,2019-03-11 11:07:13,2019-03-11 11:07:14,0.951s,FAILED
