Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer See Detail Promo (By Banner),,,2019-02-25 14:07:30,2019-02-25 14:11:14,3m - 43.993s,FAILED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2019-02-25 14:07:31,2019-02-25 14:09:26,1m - 54.937s,PASSED
"startApplication(""C:\Users\WGS-LAP151\Downloads\Movic_1.2.0_2019-02-04-stable-debug.apk"", false)",,Open apps on phone,2019-02-25 14:07:33,2019-02-25 14:08:41,1m - 7.898s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - English""), 0)",,,2019-02-25 14:08:41,2019-02-25 14:08:47,6.602s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.ImageView4""), 0)",,Tap button next,2019-02-25 14:08:47,2019-02-25 14:08:50,2.937s,PASSED
for (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2019-02-25 14:08:50,2019-02-25 14:08:53,2.422s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - Skip""), 0)",,Tap button skip,2019-02-25 14:08:53,2019-02-25 14:08:54,1.298s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView0 - Log in""), 0)",,Tap button login,2019-02-25 14:08:54,2019-02-25 14:08:59,4.606s,PASSED
"setText(findTestObject(""Mobile/OR Login/android.widget.EditText0""), ""nansulaiman5@gmail.com"", 0)",,Input email user,2019-02-25 14:08:59,2019-02-25 14:09:00,1.474s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Lanjutkan 03""), 0)",,Tap tombol lanjutkan seharusnya next Eng,2019-02-25 14:09:00,2019-02-25 14:09:03,3.034s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-25 14:09:03,2019-02-25 14:09:08,5.210s,PASSED
"setText(findTestObject(""Mobile/OR Login 2/android.widget.EditText0 - field password""), ""password8"", 0)",,Input password user,2019-02-25 14:09:08,2019-02-25 14:09:09,1.026s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-25 14:09:09,2019-02-25 14:09:14,5.010s,PASSED
hideKeyboard(),,Hide keyboard on phone,2019-02-25 14:09:14,2019-02-25 14:09:17,3.099s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Start Movic 01""), 0)",,Submit form dan redirect ke homepage,2019-02-25 14:09:17,2019-02-25 14:09:21,3.997s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-25 14:09:21,2019-02-25 14:09:26,5.014s,PASSED
,,,,,,
Test Cases/Mobile/Android/Promo/SC99 Regression/TC01 Show detail promo (By Banner),,,2019-02-25 14:09:26,2019-02-25 14:11:11,1m - 44.890s,FAILED
"callTestCase(findTestCase(""Mobile/Android/User/SC99 Regression/TC04 Login with email""), [:], STOP_ON_FAILURE)",,Call test case login,2019-02-25 14:09:27,2019-02-25 14:09:27,0.003s,NOT_RUN
"tap(findTestObject(""Mobile/OR Profile/android.widget.ImageView0""), 0)",,Tap icon profile,2019-02-25 14:09:27,2019-02-25 14:11:11,1m - 44.263s,FAILED
