Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reservation From Click Image Section Popular Destination,,,2019-02-12 14:56:34,2019-02-12 15:13:41,17m - 7.251s,FAILED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2019-02-12 14:56:35,2019-02-12 14:59:08,2m - 33.624s,PASSED
"startApplication(""C:\Users\WGS-LAP151\Downloads\Movic_1.2.0_2019-02-04-stable-debug.apk"", false)",,Open apps on phone,2019-02-12 14:56:36,2019-02-12 14:58:26,1m - 49.745s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - English""), 0)",,,2019-02-12 14:58:26,2019-02-12 14:58:32,6.503s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.ImageView4""), 0)",,Tap button next,2019-02-12 14:58:32,2019-02-12 14:58:34,1.593s,PASSED
for (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2019-02-12 14:58:34,2019-02-12 14:58:36,2.405s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - Skip""), 0)",,Tap button skip,2019-02-12 14:58:36,2019-02-12 14:58:39,2.489s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView0 - Log in""), 0)",,Tap button login,2019-02-12 14:58:39,2019-02-12 14:58:42,3.524s,PASSED
"setText(findTestObject(""Mobile/OR Login/android.widget.EditText0""), ""nansulaiman5@gmail.com"", 0)",,Input email user,2019-02-12 14:58:42,2019-02-12 14:58:44,1.253s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Lanjutkan 03""), 0)",,Tap tombol lanjutkan seharusnya next Eng,2019-02-12 14:58:44,2019-02-12 14:58:47,3.071s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-12 14:58:47,2019-02-12 14:58:52,5.273s,PASSED
"setText(findTestObject(""Mobile/OR Login 2/android.widget.EditText0 - field password""), ""password8"", 0)",,Input password user,2019-02-12 14:58:52,2019-02-12 14:58:53,1.368s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-12 14:58:53,2019-02-12 14:58:58,5.010s,PASSED
hideKeyboard(),,Hide keyboard on phone,2019-02-12 14:58:58,2019-02-12 14:59:00,2.124s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Start Movic 01""), 0)",,Submit form dan redirect ke homepage,2019-02-12 14:59:00,2019-02-12 14:59:03,2.776s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-12 14:59:03,2019-02-12 14:59:08,5.009s,PASSED
,,,,,,
Test Cases/Mobile/Android/Homepage/SC99 Regression/TC19 Show List Car By Click Image Popular destinations,,,2019-02-12 14:59:08,2019-02-12 14:59:20,11.478s,FAILED
"callTestCase(findTestCase(""Mobile/Android/User/SC99 Regression/TC04 Login with email""), [:], STOP_ON_FAILURE)",,Call test case login,2019-02-12 14:59:09,2019-02-12 14:59:09,0.002s,NOT_RUN
"scrollToText(""Popular Destinations"", STOP_ON_FAILURE)",,Scroll to text popular destinations,2019-02-12 14:59:09,2019-02-12 14:59:20,10.699s,FAILED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC15 Select car from list cars,,,2019-02-12 14:59:20,2019-02-12 15:01:22,2m - 2.171s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Homepage/SC99 Regression/TC01 Search car use search bar rental city atau region""), [:], STOP_ON_FAILURE)",,Call test case search car use search bar renal city atau region,2019-02-12 14:59:21,2019-02-12 14:59:21,0.003s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.support.v4.view.ViewPager0""), 0)",,Select car yang ada di list of cars,2019-02-12 14:59:21,2019-02-12 14:59:21,0.007s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.widget.Button0 - Check Packages""), 0)",,Check packages,2019-02-12 14:59:21,2019-02-12 15:01:22,2m - 1.209s,FAILED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC09 Rules,,,2019-02-12 15:01:22,2019-02-12 15:03:53,2m - 31.140s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Booking/SC99 Regression/TC15 Select car from list cars""), [:], STOP_ON_FAILURE)",,Call test case select car from list cars,2019-02-12 15:01:38,2019-02-12 15:01:38,0.021s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.widget.TextView - CANCELLATION POLICY""), 0)",,Menampilkan informasi yang ada di tab cancellation policy,2019-02-12 15:01:38,2019-02-12 15:03:53,2m - 15.165s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC01 Pay - Payment,,,2019-02-12 15:04:08,2019-02-12 15:06:43,2m - 34.715s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Booking/SC99 Regression/TC09 Rules""), [:], STOP_ON_FAILURE)",,Call test case rules,2019-02-12 15:04:24,2019-02-12 15:04:24,0.054s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.ImageView2""), 0)",,,2019-02-12 15:04:24,2019-02-12 15:04:24,0.013s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.Button1 - Pay""), 0)",,Mulai melakukan pembayaran,2019-02-12 15:04:24,2019-02-12 15:06:43,2m - 18.291s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC04 Select payment method,,,2019-02-12 15:06:43,2019-02-12 15:09:25,2m - 42.024s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Payment/SC99 Regression/TC01 Pay - Payment""), [:], STOP_ON_FAILURE)",,Call test case pay - payment,2019-02-12 15:07:04,2019-02-12 15:07:04,0.016s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.FrameLayout3""), 0)",,Menampilkan option payment,2019-02-12 15:07:04,2019-02-12 15:09:25,2m - 20.314s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC05 Credit card payment,,,2019-02-12 15:09:53,2019-02-12 15:12:50,2m - 56.699s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Payment/SC99 Regression/TC04 Select payment method""), [:], STOP_ON_FAILURE)",,Call test case select payment method,2019-02-12 15:10:21,2019-02-12 15:10:21,0.007s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.FrameLayout3 (1)""), 0)",,Pilih metode pembayaran credit card,2019-02-12 15:10:21,2019-02-12 15:12:50,2m - 28.775s,FAILED
