Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search and Set Price Owned Cars by Owner,,,2019-02-26 16:51:38,2019-02-26 16:57:06,5m - 28.295s,FAILED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2019-02-26 16:51:38,2019-02-26 16:53:33,1m - 54.431s,PASSED
"startApplication(""C:\Users\WGS-LAP151\Downloads\Movic_1.2.0_2019-02-04-stable-debug.apk"", false)",,Open apps on phone,2019-02-26 16:51:40,2019-02-26 16:52:45,1m - 5.476s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - English""), 0)",,,2019-02-26 16:52:45,2019-02-26 16:52:52,6.612s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.ImageView4""), 0)",,Tap button next,2019-02-26 16:52:52,2019-02-26 16:52:55,3.465s,PASSED
for (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2019-02-26 16:52:55,2019-02-26 16:53:00,5.142s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView2 - Skip""), 0)",,Tap button skip,2019-02-26 16:53:00,2019-02-26 16:53:04,3.438s,PASSED
"tap(findTestObject(""Mobile/OR Homepage/OBJ-Login/android.widget.TextView0 - Log in""), 0)",,Tap button login,2019-02-26 16:53:04,2019-02-26 16:53:05,1.631s,PASSED
"setText(findTestObject(""Mobile/OR Login/android.widget.EditText0""), ""nansulaiman5@gmail.com"", 0)",,Input email user,2019-02-26 16:53:05,2019-02-26 16:53:07,1.175s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Lanjutkan 03""), 0)",,Tap tombol lanjutkan seharusnya next Eng,2019-02-26 16:53:07,2019-02-26 16:53:10,2.913s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-26 16:53:10,2019-02-26 16:53:15,5.156s,PASSED
"setText(findTestObject(""Mobile/OR Login 2/android.widget.EditText0 - field password""), ""password8"", 0)",,Input password user,2019-02-26 16:53:15,2019-02-26 16:53:16,1.084s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-26 16:53:16,2019-02-26 16:53:21,5.010s,PASSED
hideKeyboard(),,Hide keyboard on phone,2019-02-26 16:53:21,2019-02-26 16:53:24,2.972s,PASSED
"tap(findTestObject(""Mobile/OR Login 2/android.widget.Button0 - Start Movic 01""), 0)",,Submit form dan redirect ke homepage,2019-02-26 16:53:24,2019-02-26 16:53:28,3.895s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2019-02-26 16:53:28,2019-02-26 16:53:33,5.014s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC06 Set Price - My Cars,,,2019-02-26 16:53:33,2019-02-26 16:56:47,3m - 14.259s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Product/SC99 Regression/TC02 Search Car - My Cars""), [:], STOP_ON_FAILURE)",,Call test case search car - my cars,2019-02-26 16:53:33,2019-02-26 16:53:33,0.004s,NOT_RUN
"tap(findTestObject(""Mobile/OR Product/android.widget.Tab - My Cars""), 0)",,Tap tab my cars,2019-02-26 16:53:33,2019-02-26 16:53:33,0.002s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.widget.ImageView9 - 3 dots 1""), 0)",,Tap icon menu titik 3,2019-02-26 16:53:33,2019-02-26 16:54:47,1m - 13.982s,PASSED
"tap(findTestObject(""Mobile/OR Order/android.widget.TextView6 - Set price 2""), 0)",,Select menu set price,2019-02-26 16:54:47,2019-02-26 16:56:47,1m - 59.598s,FAILED
