Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search and Share Owned Cars by Owner,,,2018-12-14 15:54:39,2018-12-14 15:56:41,2m - 2.135s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-12-14 15:54:40,2018-12-14 15:56:07,1m - 27.477s,PASSED
"startApplication(""C:\Users\WGS-LAP199\Downloads\Movic apk\Movic_0.10.0_2018-12-03-staging-debug.apk"", false)",,Open apps on phone,2018-12-14 15:54:41,2018-12-14 15:55:26,44.355s,PASSED
"tap(findTestObject(""Mobile/OR Registrasi/android.widget.ImageView4""), 0)",,Tap button next,2018-12-14 15:55:26,2018-12-14 15:55:32,5.991s,PASSED
for (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-12-14 15:55:32,2018-12-14 15:55:36,4.740s,PASSED
"tap(findTestObject(""Mobile/OR Registrasi/android.widget.TextView2 - Skip""), 0)",,Tap button skip,2018-12-14 15:55:36,2018-12-14 15:55:40,3.522s,PASSED
"tap(findTestObject(""Mobile/OR Login/android.widget.TextView0 - Log in""), 0)",,Tap button login,2018-12-14 15:55:40,2018-12-14 15:55:43,3.484s,PASSED
"setText(findTestObject(""Mobile/OR Login/android.widget.EditText0""), ""santi.wahyuni@wgs.co.id"", 0)",,Input email user,2018-12-14 15:55:43,2018-12-14 15:55:45,1.211s,PASSED
"tap(findTestObject(""Mobile/OR Login/android.widget.Button0 - Next""), 0)",,Tap button next,2018-12-14 15:55:45,2018-12-14 15:55:47,2.925s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:55:47,2018-12-14 15:55:53,5.092s,PASSED
"setText(findTestObject(""Mobile/OR Login/android.widget.EditText0 (1)""), ""P@ssword123"", 0)",,Input password user,2018-12-14 15:55:53,2018-12-14 15:55:54,1.189s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:55:54,2018-12-14 15:55:59,5.009s,PASSED
hideKeyboard(),,Hide keyboard on phone,2018-12-14 15:55:59,2018-12-14 15:56:01,1.988s,PASSED
"tap(findTestObject(""Mobile/OR Login/android.widget.Button0 - Start Movic""), 0)",,Submit form dan redirect ke homepage,2018-12-14 15:56:01,2018-12-14 15:56:02,1.677s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:56:02,2018-12-14 15:56:07,5.006s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC02 Search Car - My Cars,,,2018-12-14 15:56:07,2018-12-14 15:56:27,19.916s,PASSED
"callTestCase(findTestCase(""Mobile/Android/User/SC99 Regression/TC04 Login with email""), [:], STOP_ON_FAILURE)",,Call test case login,2018-12-14 15:56:08,2018-12-14 15:56:08,0.005s,NOT_RUN
"tap(findTestObject(""Mobile/OR Product/android.widget.Tab - My Cars""), 0)",,Tap tab my cars,2018-12-14 15:56:08,2018-12-14 15:56:09,1.594s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:56:09,2018-12-14 15:56:14,5.010s,PASSED
"setText(findTestObject(""Mobile/OR Product/android.widget.EditText0 - Search car""), ""Mitsubishi"", 0)",,Mencari car by name,2018-12-14 15:56:15,2018-12-14 15:56:16,1.685s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:56:16,2018-12-14 15:56:21,5.008s,PASSED
"tap(findTestObject(""Mobile/OR Product/android.widget.ImageView6""), 0)",,Tap button search,2018-12-14 15:56:21,2018-12-14 15:56:22,1.130s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2), STOP_ON_FAILURE)",,,2018-12-14 15:56:22,2018-12-14 15:56:27,5.007s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC10 Share - My Cars,,,2018-12-14 15:56:27,2018-12-14 15:56:40,12.444s,PASSED
"callTestCase(findTestCase(""Mobile/Android/Product/SC99 Regression/TC02 Search Car - My Cars""), [:], STOP_ON_FAILURE)",,Call test case search car - my cars,2018-12-14 15:56:28,2018-12-14 15:56:28,0.010s,NOT_RUN
"tap(findTestObject(""Mobile/OR Product/android.widget.Tab - My Cars""), 0)",,Tap tab my cars,2018-12-14 15:56:28,2018-12-14 15:56:28,0.003s,NOT_RUN
"tap(findTestObject(""Mobile/OR Product/android.widget.ImageView9 (1)""), 0)",,Tap icon menu titik 3,2018-12-14 15:56:28,2018-12-14 15:56:29,1.440s,PASSED
"tap(findTestObject(""Mobile/OR Product/android.widget.RelativeLayout7 (2)""), 0)",,Select menu share,2018-12-14 15:56:29,2018-12-14 15:56:32,2.738s,PASSED
"tap(findTestObject(""Mobile/OR Product/android.widget.LinearLayout5""), 0)",,Select option share by copy link,2018-12-14 15:56:32,2018-12-14 15:56:35,2.796s,PASSED
"delay(findTestData(""Delay Step"").getValue(1, 2))",,,2018-12-14 15:56:35,2018-12-14 15:56:40,5.013s,PASSED
